Time,Link,Text,Hashtags,User,Favorites,Following,Followers,Retweets,Urls,UrlTitle,UrlDesc,UrlImg,ImageUrls,ReplyURL,QuoteID,QuoteText,QuoteImg,QuoteUrl
2020-10-22 20:08:38,https://twitter.com/nobantu/status/1319370096708562947,Day 3 of #IIW 31 is speeding by! https://t.co/FVJa4iWxmh,['IIW'],nobantu,0,1145,1144,0,['https://twitter.com/idworkshop/status/1319366515930615808'],[],[],[],[],,https://twitter.com/idworkshop/status/1319366515930615808,Discussions about to begin during 4th session of Day 3 of #IIW #IIW31  Our 'virtual' Agenda Wall - Session 23 of 24 over 3 Days - 120 sessions called and convened thus far!  Two to go ~ https://t.co/FpYoWuUwV1,"['', 'https://pbs.twimg.com/media/Ek9UK9SWMAEShao.png']",['']
2020-10-22 20:08:32,https://twitter.com/NickyHickman11/status/1319370072633315329,Is paper the key to #selfsovereignidentity adoption? #IIW session in breakout K with @philippePage1 from @humancolossus stepping us through the real world now,"['selfsovereignidentity', 'IIW']",NickyHickman11,1,165,69,2,[],[],[],[],[],,,,[''],['']
2020-10-22 19:54:24,https://twitter.com/idworkshop/status/1319366515930615808,Discussions about to begin during 4th session of Day 3 of #IIW #IIW31  Our 'virtual' Agenda Wall - Session 23 of 24 over 3 Days - 120 sessions called and convened thus far!  Two to go ~ https://t.co/FpYoWuUwV1,"['IIW', 'IIW31']",idworkshop,2,1597,2616,0,[],[],[],[],['https://pbs.twimg.com/media/Ek9UK9SWMAEShao.png'],,,,[''],['']
2020-10-22 19:52:41,https://twitter.com/NickyHickman11/status/1319366084517105665,"My favourite #IIW session so far - not-so-smart wallets.  Thank you @kimdhamilton and Orie Steele - wonderful discussion, perfect hosting
#digitalwallets #selfsovereignidentity","['IIW', 'digitalwallets', 'selfsovereignidentity']",NickyHickman11,1,165,69,0,[],[],[],[],[],,,,[''],['']
2020-10-22 19:15:47,https://twitter.com/vibronet/status/1319356798097223680,"Fun how during @idworkshop I end up on backchannel conversations on Skype, 5 different Slack instances, zoom direct chat, Twitter IM, whatsapp... basically a 1:1 between individuals and IM apps 😅 #iiw",['iiw'],vibronet,2,258,4869,1,[],[],[],[],[],,,,[''],['']
2020-10-22 18:22:32,https://twitter.com/idworkshop/status/1319343397962919938,Discussions about to begin during third session of Day 3 of #IIW #IIW31  Our 'virtual' Agenda Wall - Session 22 of 24 over 3 Days - 112 sessions called and convened thus far!  Three to go ~ https://t.co/NVDMsGAHvH,"['IIW', 'IIW31']",idworkshop,3,1597,2616,0,[],[],[],[],['https://pbs.twimg.com/media/Ek8_aANW0AYT_fd.png'],,,,[''],['']
2020-10-22 17:23:03,https://twitter.com/idworkshop/status/1319328426956828673,Discussions happening right now during second session of Day 3 of #IIW #IIW31  Our 'virtual' Agenda Wall - Session 21 of 24 over 3 Days https://t.co/72M37ZoT76,"['IIW', 'IIW31']",idworkshop,4,1597,2616,0,[],[],[],[],['https://pbs.twimg.com/media/Ek8x_U4XYAMgAAC.png'],,,,[''],['']
2020-10-22 16:28:54,https://twitter.com/idworkshop/status/1319314800300752897,Discussions happening right now during first session of Day 3 of #IIW #IIW31  Our 'virtual' Agenda Wall https://t.co/PCA4XXLrkj,"['IIW', 'IIW31']",idworkshop,7,1597,2616,4,[],[],[],[],['https://pbs.twimg.com/media/Ek8lkVaX0AAH2Q8.png'],,,,[''],['']
2020-10-22 16:25:04,https://twitter.com/openconsent/status/1319313835560521731,Great to be at #iiw ethical tech discussions with @me2balliance  discussing how it all meets @CustomerCommons @mydataorg @KantaraCISWG with @jeffaresty,['iiw'],openconsent,3,240,208,0,[],[],[],[],[],,,,[''],['']
2020-10-28 12:54:45,https://twitter.com/trinsic_id/status/1321435235972747265,Thank you @dschmudde for a great #IIW31 overview and for highlighting Trinsic! https://t.co/dKlOxxK1kl,['IIW31'],trinsic_id,1,364,547,0,['https://twitter.com/dschmudde/status/1320073385024622592'],[],[],[],[],,https://twitter.com/dschmudde/status/1320073385024622592,"This week's Internet Identity Workshop showed a path forward for online identity. My recap, highlighting the work of @by_caballero, @NickyHickman11, @me2balliance, @rileyphughes, @agropper, @_jenral_, @Sheldrake, and @MaryHodder. Inspiring stuff! https://t.co/EPPJQRG0wF #iiw",[''],"['', 'https://schmud.de/posts/2020-10-24-iiw31.html']"
